IDREGION,FYEAR,SM_WHC,maxWLIM_YBp2,maxTWCp2,maxWLAIp2,maxWLIM_YBp4,maxWLIM_YSp4,maxTWCp4,maxWLAIp4,avgRSMp2,avgRSMp4,avgTAVGp0,avgPRECp0,avgCWBp0,avgTAVGp1,avgPRECp1,avgTAVGp2,avgCWBp2,avgPRECp3,avgCWBp4,avgPRECp5,avgFAPARp2,avgFAPARp4,YIELD
NL23,2004,0.16,2401.67,3.81,3.25,18625.51,14007.48,29.95,5.45,71.77,68.69,6.88,2.15,0.68,12.77,1.01,12.49,-1.76,0.92,0.0,2.77,0.47,0.69,49.4
NL23,2005,0.16,1548.84,2.97,2.41,16353.17,12120.89,27.96,6.07,88.98,61.58,6.19,2.03,0.71,10.75,2.04,12.57,-1.3,1.67,-0.8,1.71,0.42,0.69,43.5
NL23,2006,0.16,2335.82,3.44,3.84,9956.51,5715.17,20.23,6.1,85.55,48.03,5.4,1.36,-0.04,13.93,1.24,14.27,-1.08,2.26,-0.86,2.66,0.45,0.66,45.7
NL23,2007,0.16,1033.34,1.56,1.41,18846.14,14799.66,29.48,5.59,117.38,76.19,8.22,2.13,0.59,13.66,1.44,13.72,-0.91,3.08,-0.04,2.02,0.44,0.66,48.1
NL23,2008,0.16,735.8,1.45,1.06,14398.02,10827.15,25.21,4.76,77.39,56.98,6.49,2.15,0.89,11.59,0.64,13.91,-2.85,0.89,-0.91,2.41,0.43,0.66,48.5
NL23,2009,0.16,793.68,1.31,1.07,16483.28,11433.19,27.39,5.97,92.06,46.75,5.61,1.34,0.16,12.72,0.93,12.52,-0.62,2.92,-1.25,1.11,0.46,0.66,49.1
NL23,2010,0.16,856.58,1.36,1.04,13629.54,9789.49,24.25,5.33,80.36,54.07,4.64,1.7,0.44,9.65,1.73,10.27,-0.84,1.55,-0.4,5.82,0.44,0.66,48.2
NL23,2011,0.16,3136.1,5.39,4.76,18854.84,14373.7,30.08,5.77,63.1,73.77,7.3,0.97,-0.7,14.09,0.65,13.76,-2.4,1.62,0.74,3.65,0.54,0.7,49.0
NL32,1999,0.12,1568.33,2.32,2.4,11854.55,7920.85,18.53,4.89,43.9,37.24,6.97,1.89,0.82,12.69,0.9,13.6,-1.81,1.84,-1.26,0.65,0.46,0.64,43.0
NL32,2000,0.12,2530.54,3.41,4.01,12418.2,8344.01,18.37,5.31,62.75,35.65,7.57,1.62,0.44,14.54,1.2,14.21,-0.44,2.78,-1.02,1.96,0.54,0.64,43.6
NL32,2001,0.12,1108.05,1.64,1.56,10682.34,6955.52,18.53,5.21,86.13,48.2,5.45,1.92,0.82,11.48,1.52,13.08,-1.88,1.41,-0.9,4.96,0.46,0.63,40.5
NL32,2002,0.12,1538.84,2.25,2.35,13470.11,9988.79,21.17,4.44,40.74,58.64,7.92,2.33,0.93,11.9,1.96,13.15,-1.35,1.42,-0.82,1.18,0.53,0.63,41.1
NL32,2003,0.12,2171.42,3.29,3.39,7141.32,3892.94,12.58,4.68,80.47,13.36,6.77,1.06,-0.51,12.38,2.53,13.06,-0.62,2.16,-2.7,0.94,0.56,0.61,38.1
NL32,2004,0.12,1677.07,2.64,2.17,13600.56,10035.73,21.62,4.25,38.89,54.26,6.92,1.98,0.53,12.23,0.82,11.93,-2.17,0.67,-0.57,3.36,0.56,0.64,43.0
NL32,2005,0.12,1200.3,2.11,1.79,14117.65,10590.47,23.06,5.12,62.73,49.21,6.38,1.92,0.61,10.6,1.45,12.21,-1.64,1.53,-0.93,1.72,0.54,0.64,39.1
NL32,2006,0.12,1893.2,2.68,2.9,8705.37,5079.25,17.5,4.93,64.88,50.09,5.49,1.3,-0.05,13.33,1.09,13.96,-1.28,1.82,-0.87,2.35,0.56,0.65,38.1
NL32,2007,0.12,832.18,1.24,1.1,17426.82,13704.73,26.47,4.86,167.64,65.26,8.44,2.1,0.61,13.37,1.3,13.45,-1.13,2.69,-0.43,1.73,0.52,0.63,39.1
NL32,2008,0.12,620.15,1.15,0.94,10584.87,7936.7,18.29,3.72,40.58,46.27,6.55,2.04,0.75,11.58,0.57,13.87,-2.7,0.88,-1.08,2.73,0.54,0.64,39.2
NL32,2009,0.12,572.7,0.93,0.79,10986.18,6746.76,18.46,5.43,68.85,31.79,5.55,1.24,0.12,11.72,0.62,12.04,-0.81,2.95,-1.74,1.29,0.52,0.62,40.6
NL32,2010,0.12,1494.26,2.36,2.2,10909.62,7676.04,19.56,4.67,62.73,60.57,5.45,1.52,0.06,9.85,1.51,12.17,-1.61,1.29,-0.34,2.95,0.58,0.65,41.1
NL32,2011,0.12,3520.15,5.57,4.07,14776.96,11483.32,23.15,4.07,5.78,65.16,7.85,0.6,-1.21,13.52,0.61,14.09,-2.14,2.14,0.81,3.67,0.63,0.63,36.5
NL33,1999,0.15,2107.36,3.24,3.3,12220.84,8037.33,20.19,5.13,66.96,33.08,7.52,1.83,0.64,13.42,1.01,14.44,-1.8,1.89,-1.5,0.19,0.49,0.63,48.0
NL33,2000,0.15,1137.09,1.92,2.01,16116.17,11881.5,23.64,5.49,82.37,46.83,7.19,1.76,0.74,12.83,1.37,15.34,-1.32,2.41,-1.06,1.97,0.5,0.64,49.5
NL33,2001,0.15,349.43,0.53,0.52,11635.34,7770.18,21.06,5.38,112.14,40.76,5.69,2.18,1.15,9.22,1.83,12.2,-1.55,0.89,-1.63,3.21,0.43,0.61,43.4
NL33,2002,0.15,1839.04,2.82,2.92,13040.71,9147.79,21.52,4.97,53.36,46.7,8.36,2.29,0.73,12.32,1.66,13.39,-1.64,1.36,-1.12,1.03,0.53,0.62,49.3
NL33,2003,0.15,2572.64,4.02,4.02,7784.28,4081.09,14.38,5.3,83.72,18.68,7.14,1.13,-0.56,12.82,2.86,13.47,-0.51,2.46,-2.63,1.48,0.57,0.58,42.7
NL33,2004,0.15,1901.45,2.88,2.42,13880.66,9893.46,23.24,4.81,60.03,51.29,7.18,2.07,0.59,12.19,1.3,11.81,-2.03,0.78,-0.74,2.68,0.55,0.63,48.0
NL33,2005,0.15,1453.63,2.63,2.23,15177.21,11497.58,25.53,5.36,65.93,49.01,6.74,1.91,0.52,11.16,1.6,12.59,-1.49,1.37,-1.04,1.61,0.56,0.64,46.7
NL33,2006,0.15,2224.22,3.01,3.5,8688.06,4634.52,17.24,5.62,91.51,45.2,6.02,1.38,-0.03,13.6,1.36,14.22,-0.11,2.93,-0.84,3.02,0.56,0.61,39.8
NL33,2007,0.15,1129.32,1.71,1.62,18301.92,14228.6,29.28,5.42,135.22,77.98,8.89,1.97,0.47,14.17,1.6,14.29,-0.92,3.33,-0.05,1.75,0.54,0.6,47.6
NL33,2008,0.15,747.56,1.42,1.16,15089.74,11232.36,25.78,4.81,67.54,59.19,6.91,1.99,0.67,12.0,0.74,14.27,-2.01,1.74,-0.72,2.34,0.53,0.63,52.1
NL33,2009,0.15,642.35,1.07,0.9,12375.34,7910.68,21.67,5.45,74.0,34.04,5.74,1.38,0.18,11.93,0.82,12.42,-1.05,2.58,-1.77,1.09,0.54,0.61,51.1
NL33,2010,0.15,798.21,1.26,1.0,10143.26,6637.94,19.8,4.9,76.67,51.51,5.52,1.77,0.39,9.63,1.43,10.25,-0.92,1.47,-0.83,4.71,0.52,0.61,49.0
NL33,2011,0.15,2576.55,4.43,3.76,15272.49,11983.35,25.08,4.19,10.04,63.98,8.02,1.15,-0.6,14.44,0.33,14.17,-3.27,1.26,0.48,3.85,0.59,0.63,50.3
NL34,1999,0.16,692.7,0.97,1.05,13080.67,8600.67,21.64,5.66,93.9,46.56,7.4,1.85,0.81,11.48,1.28,13.6,-1.6,1.07,-1.34,1.89,0.46,0.65,48.0
NL34,2000,0.16,1220.7,1.97,2.11,16838.96,12328.96,25.37,5.8,89.61,47.1,7.54,1.72,0.67,12.74,1.85,15.09,-0.79,2.68,-1.04,1.73,0.56,0.67,49.2
NL34,2001,0.16,381.77,0.61,0.57,11487.23,7731.15,20.9,5.34,92.17,33.56,6.27,2.35,1.27,9.48,1.88,12.31,-1.62,0.78,-1.9,3.15,0.43,0.61,42.7
NL34,2002,0.16,457.16,0.71,0.71,14158.62,9822.54,23.7,5.54,89.17,44.12,7.91,2.09,0.62,10.4,1.74,12.25,-0.73,1.32,-1.09,2.61,0.55,0.67,49.6
NL34,2003,0.16,939.72,1.4,1.28,8829.76,4844.64,16.72,5.63,99.68,31.32,6.62,1.26,-0.27,13.06,1.31,13.08,-0.23,2.2,-2.26,1.75,0.57,0.62,42.9
NL34,2004,0.16,740.39,1.15,0.96,14214.01,9859.09,24.39,5.31,86.97,41.37,6.94,1.88,0.5,11.51,1.3,12.62,-1.58,0.85,-1.14,3.39,0.57,0.68,47.8
NL34,2005,0.16,1775.55,3.18,2.79,15846.96,11990.34,27.23,5.66,76.21,52.87,6.98,1.89,0.53,11.75,1.8,12.95,-1.26,1.21,-0.95,1.6,0.63,0.67,46.0
NL34,2006,0.16,2329.56,3.28,3.67,9270.17,4800.05,19.1,6.05,98.42,43.7,6.13,1.48,0.06,13.39,1.58,13.93,0.33,3.04,-1.03,2.66,0.66,0.64,39.0
NL34,2007,0.16,1311.92,1.96,1.97,19052.74,14745.5,30.7,5.7,105.66,77.35,9.04,1.8,0.18,14.61,0.89,14.68,-1.48,2.73,-0.07,1.48,0.61,0.64,45.4
NL34,2008,0.16,909.16,1.72,1.46,16628.63,12517.37,28.13,5.1,80.47,54.85,7.2,1.86,0.52,12.22,0.92,14.52,-1.88,1.6,-0.82,1.99,0.59,0.67,47.9
NL34,2009,0.16,760.45,1.21,1.06,14310.62,9441.67,24.49,5.82,85.83,41.28,5.94,1.37,0.13,12.32,0.8,12.74,-1.33,2.42,-1.71,0.78,0.59,0.65,46.0
NL34,2010,0.16,1156.72,1.94,1.57,9863.28,5950.86,20.24,5.58,81.06,48.73,5.92,1.57,0.12,10.26,1.02,10.97,-1.52,1.45,-0.84,4.27,0.56,0.64,42.1
NL34,2011,0.16,2912.76,5.07,4.14,14945.17,11628.31,24.56,4.38,37.32,53.19,8.59,1.09,-0.7,14.92,0.33,14.53,-3.35,1.08,-0.42,2.88,0.61,0.67,45.9
NL41,1999,0.15,664.76,0.98,0.97,13878.79,9328.72,23.02,5.61,97.97,47.96,7.02,1.98,0.96,11.27,1.65,13.59,-1.36,1.56,-1.28,1.54,0.47,0.66,51.0
NL41,2000,0.15,1384.37,2.32,2.52,17856.92,13415.38,26.86,5.71,88.77,50.47,7.32,1.84,0.79,13.2,1.63,15.67,-0.92,2.45,-0.84,1.86,0.52,0.67,51.0
NL41,2001,0.15,406.93,0.66,0.6,12237.61,8324.36,22.45,5.44,94.07,37.07,5.89,2.35,1.29,9.46,1.88,12.5,-1.62,0.79,-1.74,3.05,0.44,0.64,47.8
NL41,2002,0.15,495.71,0.8,0.77,14484.48,10464.5,23.98,5.22,84.19,43.62,7.53,2.29,0.86,10.42,2.01,12.58,-0.91,1.34,-1.07,2.24,0.51,0.66,49.7
NL41,2003,0.15,952.33,1.42,1.28,8770.77,4875.03,16.57,5.55,105.22,30.55,6.22,1.35,-0.17,13.09,1.55,13.13,0.06,2.51,-2.25,1.61,0.53,0.62,46.0
NL41,2004,0.15,2096.42,3.26,2.68,15093.61,10749.31,25.46,5.33,69.16,47.27,7.06,2.0,0.52,12.36,1.33,11.9,-1.87,0.94,-0.89,2.1,0.55,0.67,52.2
NL41,2005,0.15,1696.55,3.1,2.59,15015.76,11199.76,25.98,5.63,84.83,52.38,6.66,2.0,0.65,11.26,1.99,12.71,-1.15,1.35,-1.17,1.47,0.55,0.67,48.0
NL41,2006,0.15,2436.54,3.41,3.93,9015.9,4757.93,18.37,6.1,94.55,44.31,5.85,1.49,0.06,13.83,1.53,14.35,0.03,3.07,-0.91,2.56,0.57,0.66,44.6
NL41,2007,0.15,1228.57,1.83,1.84,18353.4,14290.48,29.85,5.52,111.76,75.99,8.65,1.94,0.34,14.56,1.45,14.59,-0.81,3.31,0.04,1.77,0.56,0.64,47.7
NL41,2008,0.15,847.81,1.62,1.33,16093.59,12074.92,27.83,5.06,80.8,54.6,6.83,1.96,0.67,11.91,0.86,14.33,-1.86,1.79,-0.76,2.05,0.54,0.68,51.6
NL41,2009,0.15,703.97,1.16,0.99,13360.65,8751.11,23.85,5.6,85.18,36.82,5.61,1.49,0.27,12.23,1.05,12.61,-1.42,1.77,-1.81,1.0,0.54,0.66,52.1
NL41,2010,0.15,979.02,1.65,1.28,9793.37,6192.6,19.9,5.23,83.51,48.09,5.58,1.68,0.26,9.82,1.4,10.57,-0.98,1.69,-1.04,4.54,0.51,0.65,49.9
NL41,2011,0.15,2711.07,4.79,3.98,16376.74,12970.92,26.68,4.43,40.06,57.7,8.19,1.15,-0.62,14.65,0.36,14.39,-3.26,1.3,0.07,4.02,0.56,0.69,54.4
NL42,1999,0.16,726.36,1.1,1.06,13183.5,8975.1,23.42,5.34,103.23,49.86,6.84,2.11,0.99,11.48,2.06,13.78,-1.14,2.11,-1.41,1.59,0.46,0.63,54.0
NL42,2000,0.16,1574.32,2.69,3.02,17867.3,13759.62,28.42,5.4,94.2,64.93,7.19,1.99,0.84,14.0,1.79,16.49,-0.97,2.25,-0.51,2.35,0.5,0.64,53.4
NL42,2001,0.16,498.44,0.87,0.74,11135.69,7631.71,21.37,4.73,82.02,33.5,5.96,2.55,1.45,9.91,2.04,13.16,-1.64,0.63,-2.08,2.71,0.46,0.6,51.3
NL42,2002,0.16,563.11,0.97,0.94,13789.97,10527.48,23.45,4.44,82.9,45.49,7.32,2.51,1.06,10.61,2.97,13.21,-0.52,1.47,-1.1,2.39,0.5,0.66,52.9
NL42,2003,0.16,1174.39,1.78,1.63,9486.69,5872.02,18.65,5.08,108.21,32.49,6.07,1.52,0.02,13.61,1.65,13.87,-0.15,2.36,-2.27,1.56,0.52,0.61,48.8
NL42,2004,0.16,802.92,1.31,1.09,15619.25,11315.16,27.75,5.18,84.91,50.8,6.2,1.93,0.57,11.65,2.08,12.99,-0.76,1.62,-0.92,2.67,0.48,0.65,55.0
NL42,2005,0.16,561.74,0.92,0.65,12580.44,9174.43,23.46,4.97,100.98,51.57,6.36,1.84,0.56,11.59,2.69,11.88,-0.25,2.0,-1.49,1.89,0.54,0.66,50.6
NL42,2006,0.16,922.08,1.66,1.66,8640.64,4490.82,17.83,6.05,94.25,53.01,4.41,1.69,0.53,12.44,1.18,14.54,-1.51,3.52,-0.93,3.54,0.49,0.61,48.4
NL42,2007,0.16,1352.16,2.14,2.24,17312.93,13527.33,30.03,5.21,107.42,74.75,8.69,1.98,0.31,14.91,1.02,15.01,-1.13,3.06,-0.01,2.26,0.55,0.67,55.0
NL42,2008,0.16,841.27,1.63,1.38,16866.04,13124.86,29.62,4.89,81.95,62.64,6.86,2.09,0.74,11.97,1.32,14.64,-1.87,1.98,-0.62,1.35,0.52,0.67,54.0
NL42,2009,0.16,827.54,1.36,1.24,12655.36,8832.92,23.11,4.56,85.81,32.32,5.66,1.61,0.35,12.73,1.3,13.21,-1.76,1.03,-1.96,1.1,0.53,0.63,56.1
NL42,2010,0.16,278.8,0.4,0.35,8390.53,5021.39,17.92,4.88,99.26,45.94,4.55,1.43,0.13,9.9,0.61,10.24,-1.2,2.1,-1.31,4.55,0.46,0.61,54.4
NL42,2011,0.16,1172.16,2.07,1.98,13692.71,10645.61,23.39,3.86,63.71,44.57,7.14,1.35,-0.1,13.71,0.43,14.8,-3.31,0.55,-0.86,3.75,0.51,0.65,60.2
